"filename", "language", "JavaScript", "CSS", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 6, 28
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 21, 7, 49
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\AdminController.php", "PHP", 0, 0, 86, 0, 0, 0, 5, 18, 109
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\BookingController.php", "PHP", 0, 0, 29, 0, 0, 0, 27, 10, 66
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\CategoryController.php", "PHP", 0, 0, 68, 0, 0, 0, 24, 18, 110
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\CustomerController.php", "PHP", 0, 0, 29, 0, 0, 0, 27, 10, 66
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\DeliveryManController.php", "PHP", 0, 0, 83, 0, 0, 0, 25, 18, 126
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\OrderController.php", "PHP", 0, 0, 58, 0, 0, 0, 25, 11, 94
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\ProductController.php", "PHP", 0, 0, 82, 0, 0, 0, 25, 20, 127
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\TableController.php", "PHP", 0, 0, 53, 0, 0, 0, 23, 14, 90
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\TestimonialController.php", "PHP", 0, 0, 29, 0, 0, 0, 27, 10, 66
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\cartController.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\userController.php", "PHP", 0, 0, 179, 0, 0, 0, 0, 15, 194
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Kernel.php", "PHP", 0, 0, 41, 0, 0, 0, 21, 7, 69
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\AdminNav.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\AssignDeliveryMan.php", "PHP", 0, 0, 30, 0, 0, 0, 1, 12, 43
"c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\Bill.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 5, 26
