Date : 2023-04-30 18:19:58
Directory : c:\Users\Dell Latitude\Documents\coding_files\restaurant
Total : 213 files,  17084 codes, 1608 comments, 1551 blanks, all 20243 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |      8,498 |          0 |          4 |      8,502 |
| PHP        |        193 |      6,117 |      1,521 |      1,238 |      8,876 |
| CSS        |          6 |      2,249 |         53 |        251 |      2,553 |
| JavaScript |          9 |        146 |         32 |         35 |        213 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| XML        |          1 |         29 |          2 |          1 |         32 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        213 |     17,084 |      1,608 |      1,551 |     20,243 |
| . (Files)                                                                                                                                     |          6 |      8,582 |          2 |         29 |      8,613 |
| app                                                                                                                                           |         80 |      2,039 |        509 |        537 |      3,085 |
| app\Console                                                                                                                                   |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                                                                                |          1 |         21 |         21 |          7 |         49 |
| app\Http                                                                                                                                      |         43 |      1,409 |        298 |        330 |      2,037 |
| app\Http (Files)                                                                                                                              |          1 |         41 |         21 |          7 |         69 |
| app\Http\Controllers                                                                                                                          |         12 |        725 |        208 |        151 |      1,084 |
| app\Http\Livewire                                                                                                                             |         20 |        528 |          6 |        129 |        663 |
| app\Http\Middleware                                                                                                                           |         10 |        115 |         63 |         43 |        221 |
| app\Models                                                                                                                                    |         10 |        194 |         16 |         65 |        275 |
| app\Providers                                                                                                                                 |          5 |         84 |         47 |         29 |        160 |
| app\View                                                                                                                                      |         19 |        306 |        120 |         99 |        525 |
| app\View\Components                                                                                                                           |         19 |        306 |        120 |         99 |        525 |
| app\helpers                                                                                                                                   |          1 |         10 |          0 |          1 |         11 |
| bootstrap                                                                                                                                     |          1 |         18 |         30 |         10 |         58 |
| config                                                                                                                                        |         15 |        549 |        743 |        240 |      1,532 |
| database                                                                                                                                      |         18 |        386 |        115 |         74 |        575 |
| database\factories                                                                                                                            |          1 |         25 |         11 |          5 |         41 |
| database\migrations                                                                                                                           |         16 |        351 |         96 |         64 |        511 |
| database\seeders                                                                                                                              |          1 |         10 |          8 |          5 |         23 |
| public                                                                                                                                        |         10 |      2,388 |         90 |        286 |      2,764 |
| public (Files)                                                                                                                                |          1 |         14 |         30 |         12 |         56 |
| public\css                                                                                                                                    |          4 |      2,248 |         51 |        250 |      2,549 |
| public\js                                                                                                                                     |          5 |        126 |          9 |         24 |        159 |
| resources                                                                                                                                     |         73 |      3,016 |         65 |        333 |      3,414 |
| resources\css                                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                                                  |          2 |          4 |         23 |          8 |         35 |
| resources\views                                                                                                                               |         70 |      3,012 |         42 |        324 |      3,378 |
| resources\views (Files)                                                                                                                       |          9 |        574 |          0 |         62 |        636 |
| resources\views\admin                                                                                                                         |         20 |        861 |          8 |        124 |        993 |
| resources\views\admin (Files)                                                                                                                 |          1 |         54 |          0 |         12 |         66 |
| resources\views\admin\auth                                                                                                                    |          2 |         37 |          0 |          7 |         44 |
| resources\views\admin\booking                                                                                                                 |          1 |         13 |          0 |          5 |         18 |
| resources\views\admin\category                                                                                                                |          3 |        108 |          0 |         18 |        126 |
| resources\views\admin\customer                                                                                                                |          1 |         13 |          0 |          4 |         17 |
| resources\views\admin\delivery-man                                                                                                            |          3 |        168 |          0 |         19 |        187 |
| resources\views\admin\order                                                                                                                   |          2 |         99 |          0 |         13 |        112 |
| resources\views\admin\product                                                                                                                 |          3 |        228 |          8 |         24 |        260 |
| resources\views\admin\table                                                                                                                   |          3 |        125 |          0 |         18 |        143 |
| resources\views\admin\testimonials                                                                                                            |          1 |         16 |          0 |          4 |         20 |
| resources\views\components                                                                                                                    |         18 |        758 |         20 |         73 |        851 |
| resources\views\layouts                                                                                                                       |          3 |         79 |          0 |          8 |         87 |
| resources\views\livewire                                                                                                                      |         20 |        740 |         14 |         57 |        811 |
| routes                                                                                                                                        |          4 |         58 |         42 |         22 |        122 |
| tests                                                                                                                                         |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                                                                 |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                                                                 |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                                                                                    |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                                                 |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                                     |          2 |          7 |          2 |          1 |         10 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\README.md                                                                            | Markdown   |         45 |          0 |         22 |         67 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Console\Kernel.php                                                               | PHP        |         15 |          7 |          6 |         28 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Exceptions\Handler.php                                                           | PHP        |         21 |         21 |          7 |         49 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\AdminController.php                                             | PHP        |         86 |          5 |         18 |        109 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\BookingController.php                                           | PHP        |         29 |         27 |         10 |         66 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\CategoryController.php                                          | PHP        |         68 |         24 |         18 |        110 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\Controller.php                                                  | PHP        |          9 |          0 |          4 |         13 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\CustomerController.php                                          | PHP        |         29 |         27 |         10 |         66 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\DeliveryManController.php                                       | PHP        |         83 |         25 |         18 |        126 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\OrderController.php                                             | PHP        |         58 |         25 |         11 |         94 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\ProductController.php                                           | PHP        |         82 |         25 |         20 |        127 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\TableController.php                                             | PHP        |         53 |         23 |         14 |         90 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\TestimonialController.php                                       | PHP        |         29 |         27 |         10 |         66 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\cartController.php                                              | PHP        |         20 |          0 |          3 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Controllers\userController.php                                              | PHP        |        179 |          0 |         15 |        194 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Kernel.php                                                                  | PHP        |         41 |         21 |          7 |         69 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\AdminNav.php                                                       | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\AssignDeliveryMan.php                                              | PHP        |         30 |          1 |         12 |         43 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\Bill.php                                                           | PHP        |         21 |          0 |          5 |         26 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\BookingsTable.php                                                  | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\CartCount.php                                                      | PHP        |         19 |          0 |          6 |         25 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\CartProduct.php                                                    | PHP        |         30 |          0 |          5 |         35 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\CartProductsSpreader.php                                           | PHP        |         25 |          0 |          5 |         30 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\CategoriesTable.php                                                | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\CustomersTable.php                                                 | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\DeliveryMenTable.php                                               | PHP        |         17 |          0 |          5 |         22 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\OrderProgress.php                                                  | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\OrdersTable.php                                                    | PHP        |         67 |          1 |         12 |         80 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\ProductCard.php                                                    | PHP        |         19 |          0 |          5 |         24 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\ProductsSearch.php                                                 | PHP        |         29 |          0 |          5 |         34 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\ProductsTable.php                                                  | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\ProfileForm.php                                                    | PHP        |         74 |          3 |         17 |         94 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\SessionListener.php                                                | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\TablesTable.php                                                    | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\Test.php                                                           | PHP        |         59 |          1 |         10 |         70 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Livewire\TestimonialsTable.php                                              | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\AdminMiddleware.php                                              | PHP        |         15 |          6 |          4 |         25 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\Authenticate.php                                                 | PHP        |         11 |          3 |          4 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\EncryptCookies.php                                               | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\PreventRequestsDuringMaintenance.php                             | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\RedirectIfAuthenticated.php                                      | PHP        |         20 |          5 |          6 |         31 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\TrimStrings.php                                                  | PHP        |         11 |          5 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\TrustHosts.php                                                   | PHP        |         12 |          5 |          4 |         21 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\TrustProxies.php                                                 | PHP        |         14 |         10 |          5 |         29 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\ValidateSignature.php                                            | PHP        |          8 |         11 |          4 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Http\Middleware\VerifyCsrfToken.php                                              | PHP        |          8 |          6 |          4 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Booking.php                                                               | PHP        |         24 |          0 |          7 |         31 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Category.php                                                              | PHP        |         13 |          0 |          6 |         19 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Inbox.php                                                                 | PHP        |         15 |          0 |          5 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Order.php                                                                 | PHP        |         34 |          0 |          9 |         43 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\OrderProduct.php                                                          | PHP        |         18 |          0 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Product.php                                                               | PHP        |         22 |          0 |          9 |         31 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Table.php                                                                 | PHP        |         14 |          0 |          6 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\Testimonial.php                                                           | PHP        |          8 |          0 |          4 |         12 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\TodaySpecials.php                                                         | PHP        |         12 |          0 |          4 |         16 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Models\User.php                                                                  | PHP        |         34 |         16 |         10 |         60 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\AppServiceProvider.php                                                 | PHP        |         12 |          8 |          5 |         25 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\AuthServiceProvider.php                                                | PHP        |         11 |         11 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\BroadcastServiceProvider.php                                           | PHP        |         12 |          3 |          5 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\EventServiceProvider.php                                               | PHP        |         21 |         12 |          6 |         39 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\Providers\RouteServiceProvider.php                                               | PHP        |         28 |         13 |          8 |         49 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\AdminSidebar.php                                                 | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\BarChart.php                                                     | PHP        |         17 |          3 |          6 |         26 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Carousel.php                                                     | PHP        |         26 |          7 |          5 |         38 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\DashboardCard.php                                                | PHP        |         19 |          3 |          6 |         28 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\DoughnutChart.php                                                | PHP        |         17 |          3 |          6 |         26 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Footer.php                                                       | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Modal.php                                                        | PHP        |         17 |          6 |          6 |         29 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Navbar.php                                                       | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Spinner.php                                                      | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\Testimonials.php                                                 | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\banner.php                                                       | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\call-to-action.php                                               | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\cart-products-spreader.php                                       | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\cta.php                                                          | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\loader.php                                                       | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\nav.php                                                          | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\products-spreader.php                                            | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\sectionsHeader.php                                               | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\View\Components\services.php                                                     | PHP        |         15 |          7 |          5 |         27 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\app\helpers\functions.php                                                            | PHP        |         10 |          0 |          1 |         11 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\bootstrap\app.php                                                                    | PHP        |         18 |         30 |         10 |         58 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\composer.json                                                                        | JSON       |         70 |          0 |          2 |         72 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\composer.lock                                                                        | JSON       |      8,416 |          0 |          1 |      8,417 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\app.php                                                                       | PHP        |         48 |        134 |         34 |        216 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\auth.php                                                                      | PHP        |         28 |         74 |         14 |        116 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\broadcasting.php                                                              | PHP        |         35 |         23 |         13 |         71 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\cache.php                                                                     | PHP        |         58 |         34 |         19 |        111 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\cors.php                                                                      | PHP        |          3 |         29 |          3 |         35 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\database.php                                                                  | PHP        |         83 |         47 |         22 |        152 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\filesystems.php                                                               | PHP        |         39 |         32 |         14 |         85 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\hashing.php                                                                   | PHP        |         12 |         32 |          9 |         53 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\logging.php                                                                   | PHP        |         79 |         34 |         19 |        132 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\mail.php                                                                      | PHP        |         53 |         53 |         19 |        125 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\queue.php                                                                     | PHP        |         47 |         32 |         15 |         94 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\sanctum.php                                                                   | PHP        |         15 |         41 |         12 |         68 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\services.php                                                                  | PHP        |         17 |         11 |          7 |         35 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\session.php                                                                   | PHP        |         22 |        147 |         33 |        202 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\config\view.php                                                                      | PHP        |         10 |         20 |          7 |         37 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\factories\UserFactory.php                                                   | PHP        |         25 |         11 |          5 |         41 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2014_10_12_000000_create_users_table.php                         | PHP        |         26 |          6 |          4 |         36 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php         | PHP        |         19 |          6 |          4 |         29 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2019_08_19_000000_create_failed_jobs_table.php                   | PHP        |         23 |          6 |          4 |         33 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php        | PHP        |         24 |          6 |          4 |         34 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_11_150534_create_categories_table.php                    | PHP        |         20 |          6 |          4 |         30 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_11_150608_create_products_table.php                      | PHP        |         24 |          6 |          4 |         34 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_12_164836_create_today_specials_table.php                | PHP        |         20 |          6 |          4 |         30 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_14_170634_create_testimonials_table.php                  | PHP        |         21 |          6 |          4 |         31 |
